UNITID,INSTNM,CITY,STABBR,INSTURL,SATVRMID,SATMTMID,SATWRMID
103945,CollegeAmerica-Flagstaff,Flagstaff,AZ,www.collegeamerica.edu,NULL,NULL,NULL
103954,Arizona Academy of Beauty-East,Tucson,AZ,www.arizonaacademy.com,NULL,NULL,NULL
103963,Arizona Automotive Institute,Glendale,AZ,www.aai.edu,NULL,NULL,NULL
104090,Brookline College-Phoenix,Phoenix,AZ,www.brooklinecollege.edu,NULL,NULL,NULL
104151,Arizona State University-Tempe,Tempe,AZ,www.asu.edu/,565,585,NULL
104160,Arizona Western College,Yuma,AZ,www.azwestern.edu,NULL,NULL,NULL
104179,University of Arizona,Tucson,AZ,www.arizona.edu,NULL,NULL,NULL
104188,Southwest University of Visual Arts-Tucson,Tucson,AZ,www.suva.edu,NULL,NULL,NULL
104346,Central Arizona College,Coolidge,AZ,www.centralaz.edu,NULL,NULL,NULL
104364,Brown Mackie College-Tucson,Tucson,AZ,www.brownmackie.edu/locations/tucson,NULL,NULL,NULL
104391,Charles of Italy Beauty College,Lake Havasu City,AZ,www.charlesofitaly.edu,NULL,NULL,NULL
104425,Cochise County Community College District,Sierra Vista,AZ,https://www.cochise.edu,NULL,NULL,NULL
104434,Empire Beauty School-Flagstaff,Flagstaff,AZ,www.empire.edu,NULL,NULL,NULL
104443,Empire Beauty School-Chandler,Chandler,AZ,www.empire.edu,NULL,NULL,NULL
104504,Cortiva Institute-Tucson,Tucson,AZ,www.cortiva.com/,NULL,NULL,NULL
104568,Avalon School of Cosmetology-Mesa,Mesa,AZ,avalon.edu/locations/mesa-az/,NULL,NULL,NULL
104577,Eastern Arizona College,Thatcher,AZ,www.eac.edu,NULL,NULL,NULL
104586,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,prescott.erau.edu/,NULL,NULL,NULL
104665,School of Architecture at Taliesin,Scottsdale,AZ,www.taliesin.edu,NULL,NULL,NULL
104708,Glendale Community College,Glendale,AZ,www.gccaz.edu,NULL,NULL,NULL
104717,Grand Canyon University,Phoenix,AZ,www.gcu.edu,NULL,NULL,NULL
104911,Olympian Academy of Cosmetology,Tempe,AZ,www.internationalacademyofhairdesign.com,NULL,NULL,NULL
105145,GateWay Community College,Phoenix,AZ,www.gatewaycc.edu,NULL,NULL,NULL
105154,Mesa Community College,Mesa,AZ,www.mesacc.edu,NULL,NULL,NULL
105206,Mohave Community College,Kingman,AZ,https://www.mohave.edu,NULL,NULL,NULL
105215,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,www.uti.edu/,NULL,NULL,NULL
105297,Dine College,Tsaile,AZ,www.dinecollege.edu,NULL,NULL,NULL
105330,Northern Arizona University,Flagstaff,AZ,https://nau.edu/,NULL,NULL,NULL
105349,Northland Pioneer College,Holbrook,AZ,www.npc.edu,NULL,NULL,NULL
105367,Ottawa University-Phoenix,Phoenix,AZ,www.ottawa.edu,NULL,NULL,NULL
105428,Phoenix College,Phoenix,AZ,www.phoenixcollege.edu,NULL,NULL,NULL
105482,Cortiva Institute-Scottsdale,Scottsdale,AZ,www.cortiva.com/,NULL,NULL,NULL
105525,Pima Community College,Tucson,AZ,www.pima.edu,NULL,NULL,NULL
105534,Pima Medical Institute-Tucson,Tucson,AZ,pmi.edu,NULL,NULL,NULL
105543,Pima Medical Institute-Albuquerque,Albuquerque,NM,pmi.edu,NULL,NULL,NULL
105589,Prescott College,Prescott,AZ,www.prescott.edu,550,510,505
105659,Refrigeration School Inc,Phoenix,AZ,https://www.refrigerationschool.com,NULL,NULL,NULL
105668,Rio Salado College,Tempe,AZ,www.rio.maricopa.edu,NULL,NULL,NULL
105677,Roberto-Venn School of Luthiery,Phoenix,AZ,www.roberto-venn.com,NULL,NULL,NULL
105701,Hair Academy of Safford,Safford,AZ,hairacademysafford.com,NULL,NULL,NULL
105747,Scottsdale Community College,Scottsdale,AZ,www.scottsdalecc.edu,NULL,NULL,NULL
105792,South Mountain Community College,Phoenix,AZ,www.southmountaincc.edu,NULL,NULL,NULL
105899,Arizona Christian University,Phoenix,AZ,www.arizonachristian.edu,474,500,NULL
105987,Tucson College,Tucson,AZ,www.tucsoncollege.edu,NULL,NULL,NULL
106041,Universal Technical Institute of Arizona Inc,Avondale,AZ,www.uti.edu,NULL,NULL,NULL
106102,Western International University,Tempe,AZ,www.west.edu,NULL,NULL,NULL
106111,Empire Beauty School-NW Phoenix,Phoenix,AZ,www.empire.edu,NULL,NULL,NULL
106148,Yavapai College,Prescott,AZ,www.YC.EDU,NULL,NULL,NULL
106245,University of Arkansas at Little Rock,Little Rock,AR,ualr.edu/www/,490,505,475
106263,University of Arkansas for Medical Sciences,Little Rock,AR,www.uams.edu,NULL,NULL,NULL
106306,Arkansas Baptist College,Little Rock,AR,www.arkansasbaptist.edu,NULL,NULL,NULL
106315,Arkansas Beauty School-Little Rock,Little Rock,AR,arkbeautyschool.com,NULL,NULL,NULL
106324,Arkansas Beauty College,Russellville,AR,www.arkansasbeautycollegersvlar.com/,NULL,NULL,NULL
106342,Lyon College,Batesville,AR,www.lyon.edu,498,535,510
